"timestamp","date_time","value","value_classification"
"1765843200","2025-12-16T00:00:00.000Z",22,"Fear"
"1765756800","2025-12-15T00:00:00.000Z",24,"Fear"
"1765670400","2025-12-14T00:00:00.000Z",27,"Fear"
"1765584000","2025-12-13T00:00:00.000Z",26,"Fear"
"1765497600","2025-12-12T00:00:00.000Z",29,"Fear"
"1765411200","2025-12-11T00:00:00.000Z",29,"Fear"
"1765324800","2025-12-10T00:00:00.000Z",30,"Fear"
"1765238400","2025-12-09T00:00:00.000Z",25,"Fear"
"1765152000","2025-12-08T00:00:00.000Z",24,"Fear"
"1765065600","2025-12-07T00:00:00.000Z",22,"Fear"
"1764979200","2025-12-06T00:00:00.000Z",21,"Fear"
"1764892800","2025-12-05T00:00:00.000Z",25,"Fear"
"1764806400","2025-12-04T00:00:00.000Z",27,"Fear"
"1764720000","2025-12-03T00:00:00.000Z",22,"Fear"
"1764633600","2025-12-02T00:00:00.000Z",16,"Extreme fear"
"1764547200","2025-12-01T00:00:00.000Z",20,"Fear"
"1764460800","2025-11-30T00:00:00.000Z",20,"Fear"
"1764374400","2025-11-29T00:00:00.000Z",20,"Fear"
"1764288000","2025-11-28T00:00:00.000Z",20,"Fear"
"1764201600","2025-11-27T00:00:00.000Z",18,"Extreme fear"
"1764115200","2025-11-26T00:00:00.000Z",15,"Extreme fear"
"1764028800","2025-11-25T00:00:00.000Z",15,"Extreme fear"
"1763942400","2025-11-24T00:00:00.000Z",12,"Extreme fear"
"1763856000","2025-11-23T00:00:00.000Z",10,"Extreme fear"
"1763769600","2025-11-22T00:00:00.000Z",10,"Extreme fear"
"1763683200","2025-11-21T00:00:00.000Z",11,"Extreme fear"
"1763596800","2025-11-20T00:00:00.000Z",15,"Extreme fear"
"1763510400","2025-11-19T00:00:00.000Z",16,"Extreme fear"
"1763424000","2025-11-18T00:00:00.000Z",15,"Extreme fear"
"1763337600","2025-11-17T00:00:00.000Z",17,"Extreme fear"
