"fetch_type","date","timestamp","value","value_classification"
"last_7_days","2025-12-18","1766016000","22","Fear"
"last_7_days","2025-12-17","1765929600","25","Fear"
"last_7_days","2025-12-16","1765843200","22","Fear"
"last_7_days","2025-12-15","1765756800","24","Fear"
"last_7_days","2025-12-14","1765670400","27","Fear"
"range_2025-12-10_to_2025-12-15","2025-12-15","1765756800","24","Fear"
"range_2025-12-10_to_2025-12-15","2025-12-14","1765670400","27","Fear"
"range_2025-12-10_to_2025-12-15","2025-12-13","1765584000","26","Fear"
"range_2025-12-10_to_2025-12-15","2025-12-12","1765497600","29","Fear"
"range_2025-12-10_to_2025-12-15","2025-12-11","1765411200","29","Fear"
"range_2025-12-10_to_2025-12-15","2025-12-10","1765324800","30","Fear"
"last_7_days","2025-12-18","1766016000","22","Fear"
"last_7_days","2025-12-17","1765929600","25","Fear"
"last_7_days","2025-12-16","1765843200","22","Fear"
"last_7_days","2025-12-15","1765756800","24","Fear"
"last_7_days","2025-12-14","1765670400","27","Fear"
"range_2025-12-10_to_2025-12-15","2025-12-15","1765756800","24","Fear"
"range_2025-12-10_to_2025-12-15","2025-12-14","1765670400","27","Fear"
"range_2025-12-10_to_2025-12-15","2025-12-13","1765584000","26","Fear"
"range_2025-12-10_to_2025-12-15","2025-12-12","1765497600","29","Fear"
"range_2025-12-10_to_2025-12-15","2025-12-11","1765411200","29","Fear"
"range_2025-12-10_to_2025-12-15","2025-12-10","1765324800","30","Fear"
"last_7_days","2025-12-18","1766016000","22","Fear"
"last_7_days","2025-12-17","1765929600","25","Fear"
"last_7_days","2025-12-16","1765843200","22","Fear"
"last_7_days","2025-12-15","1765756800","24","Fear"
"last_7_days","2025-12-14","1765670400","27","Fear"
"specific_date_2025-12-15","2025-12-15","1765756800","24","Fear"
"range_2025-12-10_to_2025-12-15","2025-12-15","1765756800","24","Fear"
"range_2025-12-10_to_2025-12-15","2025-12-14","1765670400","27","Fear"
"range_2025-12-10_to_2025-12-15","2025-12-13","1765584000","26","Fear"
"range_2025-12-10_to_2025-12-15","2025-12-12","1765497600","29","Fear"
"range_2025-12-10_to_2025-12-15","2025-12-11","1765411200","29","Fear"
"range_2025-12-10_to_2025-12-15","2025-12-10","1765324800","30","Fear"
